priority,url,page_name,page_type,indexable,in_sitemap,primary_keyword,secondary_keywords,search_intent,conversion_goal,primary_cta,source_file,review_file,word_count,title,h1,canonical,robots,schema_types,feature_gate,review_priority,notes
"P2","https://getiptvpanel.com/guides/tivimate-setup","TiviMate Setup Guide","Supporting / Policy","true","true","tivimate setup","uk tivimate setup","Informational","WhatsApp Reseller Lead","Ask for setup help -> https://wa.me/33644651365?text=Hello%2C%20I%20need%20help%20with%20a%20TiviMate%20setup%20question.","src/pages/guides/tivimate-setup.astro","docs/content-review/pages/10-tivimate-setup.md","442","How to Set Up TiviMate on Android TV or Google TV","How to Set Up TiviMate on Android TV or Google TV","https://getiptvpanel.com/guides/tivimate-setup","index, follow","BreadcrumbList, Article","None","P2","Extracted from static build"
"P2","https://getiptvpanel.com/guides/iptv-smarters-setup","IPTV Smarters Setup Guide","Supporting / Policy","true","true","iptv smarters setup","uk iptv smarters setup","Informational","WhatsApp Reseller Lead","Ask for setup help -> https://wa.me/33644651365?text=Hello%2C%20I%20need%20help%20with%20an%20IPTV%20Smarters%20setup%20question.","src/pages/guides/iptv-smarters-setup.astro","docs/content-review/pages/11-iptv-smarters-setup.md","350","How to Set Up IPTV Smarters on a Supported Device","How to Set Up IPTV Smarters on a Supported Device","https://getiptvpanel.com/guides/iptv-smarters-setup","index, follow","BreadcrumbList, Article","None","P2","Extracted from static build"
"P2","https://getiptvpanel.com/guides/fire-tv-setup","Fire TV Setup Guide","Supporting / Policy","true","true","fire tv setup","uk fire tv setup","Informational","WhatsApp Reseller Lead","Ask about Fire TV support -> https://wa.me/33644651365?text=Hello%2C%20I%20would%20like%20to%20ask%20about%20Fire%20TV%20device%20support.","src/pages/guides/fire-tv-setup.astro","docs/content-review/pages/12-fire-tv-setup.md","351","How to Set Up an IPTV Player on Fire TV Safely","How to Set Up an IPTV Player on Fire TV Safely","https://getiptvpanel.com/guides/fire-tv-setup","index, follow","BreadcrumbList, Article","None","P2","Extracted from static build"
"P2","https://getiptvpanel.com/about","About GetIPTVPanel","Supporting / Policy","true","true","about","uk about","Informational","WhatsApp Reseller Lead","Apply on WhatsApp -> https://wa.me/33644651365?text=Hello%2C%20I%20would%20like%20to%20apply%20for%20reseller%20access.","src/pages/about.astro","docs/content-review/pages/13-about.md","202","About GetIPTVPanel | UK-First Reseller Enquiries","A UK-First Route to Reseller-Panel Enquiries","https://getiptvpanel.com/about","index, follow","BreadcrumbList","None","P2","Extracted from static build"
"P2","https://getiptvpanel.com/contact","Contact GetIPTVPanel","Supporting / Policy","true","true","contact","uk contact","Informational","WhatsApp Reseller Lead","Prepare application summary -> null","src/pages/contact.astro","docs/content-review/pages/14-contact.md","307","Contact GetIPTVPanel | Reseller and Support Enquiries","Contact the Right Team with the Right Context","https://getiptvpanel.com/contact","index, follow","BreadcrumbList","None","P2","Extracted from static build"
"P2","https://getiptvpanel.com/support","GetIPTVPanel Support","Supporting / Policy","true","true","support","uk support","Informational","WhatsApp Reseller Lead","Message support on WhatsApp -> https://wa.me/33644651365?text=Hello%2C%20I%20need%20GetIPTVPanel%20support.%20My%20account%20reference%20and%20issue%20are%3A","src/pages/support.astro","docs/content-review/pages/15-support.md","259","GetIPTVPanel Support | Account and Setup Help","Give Support the Context Needed to Diagnose the Problem","https://getiptvpanel.com/support","index, follow","BreadcrumbList","None","P2","Extracted from static build"
"P2","https://getiptvpanel.com/privacy-policy","Privacy Policy","Supporting / Policy","true","true","privacy policy","uk privacy policy","Informational","WhatsApp Reseller Lead","Ask a privacy question on WhatsApp -> https://wa.me/33644651365?text=Hello%2C%20I%20have%20a%20privacy%20question%20about%20GetIPTVPanel.","src/pages/privacy-policy.astro","docs/content-review/pages/16-privacy-policy.md","272","Privacy Policy | GetIPTVPanel","Privacy Policy","https://getiptvpanel.com/privacy-policy","index, follow","BreadcrumbList","None","P2","Extracted from static build"
"P2","https://getiptvpanel.com/terms","Website Terms","Supporting / Policy","true","true","terms","uk terms","Informational","WhatsApp Reseller Lead","Home -> /","src/pages/terms.astro","docs/content-review/pages/17-terms.md","260","Website Terms | GetIPTVPanel","Website Terms","https://getiptvpanel.com/terms","index, follow","BreadcrumbList","None","P2","Extracted from static build"
"P2","https://getiptvpanel.com/refund-policy","Refund Policy","Supporting / Policy","true","true","refund policy","uk refund policy","Informational","WhatsApp Reseller Lead","Home -> /","src/pages/refund-policy.astro","docs/content-review/pages/18-refund-policy.md","168","Refund Policy | GetIPTVPanel","Refund Policy","https://getiptvpanel.com/refund-policy","index, follow","BreadcrumbList","None","P2","Extracted from static build"
"P2","https://getiptvpanel.com/acceptable-use","Acceptable Use Policy","Supporting / Policy","true","true","acceptable use","uk acceptable use","Informational","WhatsApp Reseller Lead","Home -> /","src/pages/acceptable-use.astro","docs/content-review/pages/19-acceptable-use.md","236","Acceptable Use Policy | GetIPTVPanel","Acceptable Use Policy","https://getiptvpanel.com/acceptable-use","index, follow","BreadcrumbList","None","P2","Extracted from static build"
